parking,rooms,info_card_type,bathrooms,balcony,title,floor,terrace,link,price,elevator,surface,heating,swimming_pool,air_conditioner
,3 habs.,re-CardPackAdvance-info,3 baños,,Dúplex en venta en Centre Vila,3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-terraza-ascensor/177387142/d?from=list,249.000 €,,152 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Cubelles, Sant Joan",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-trastero-ascensor/162759127/d?from=list,377.000 €,,162 m²,,,
,3 habs.,re-CardPackAdvance-info,3 baños,,"Dúplex en venta en Ronda Ibérica, La Collada - Sis Camins",4ª Planta,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19618186/161841138?from=list,440.000 €,,155 m²,,,
,2 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Avenida Joan Baptista Pieralli, La Geltrú - Sant Jordi",5ª Planta,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19670428/161240361?from=list,277.000 €,,71 m²,,,
,2 habs.,re-CardPackAdvance-info,2 baños,,Casa o chalet en venta en Centre Vila,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-terraza/165633328/d?from=list,240.000 €,,75 m²,,,
,2 habs.,re-CardPackAdvance-info,1 baño,,"Piso en venta en Calle Antoni Maria Alcover, Masia Nova -  Solicrup",,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19792473/161594807?from=list,192.000 €,Ascensor,79 m²,,,
,2 habs.,re-CardPackAdvance-info,1 baño,,Planta baja en venta en Ribes Roges,,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19757802/160970193?from=list,310.000 €,Ascensor,62 m²,,,
,3 habs.,re-CardPackAdvance-info,2 baños,,Ático en venta en Barri del Mar,,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19876024/163809406?from=list,860.000 €,Ascensor,135 m²,,,
,3 habs.,re-CardPackAdvance-info,2 baños,,Piso en venta en Barri del Mar,,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19745687/163460738?from=list,495.000 €,,122 m²,,,
,2 habs.,re-CardPackAdvance-info,2 baños,,Piso en venta en Barri del Mar,,,/es/comprar/vivienda/vilanova-i-la-geltru/zona-comunitaria-ascensor-piscina/177384061/d?from=list,258.500 €,Ascensor,73 m²,,,
